organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000001444    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/3            0/4            0/0            0/0            0/1            0/2            0/0            0/0            1/1            3/5            6/34           10/199         
UP000281409    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/6            0/0            0/0            0/4            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            6/28           24/186         
UP000004923    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            3/11           9/77           
UP000180199    1/5            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/5            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/5            5/26           9/128          
UP000256856    2/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/1            1/1            1/2            1/17           
UP000004218    1/1            0/0            2/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/1            2/3            2/10           4/99           
UP000002964    2/4            0/0            2/2            2/2            0/0            0/2            0/0            0/1            0/0            0/0            2/3            0/0            0/0            0/1            0/2            0/0            0/2            0/0            0/0            0/1            2/2            2/4            2/14           5/109          
UP000002297    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/1            0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            3/19           3/56           
UP000050986    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/1            0/0            0/1            2/2            0/0            0/1            0/3            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            2/19           18/154         
UP000018370    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/1            0/0            0/0            1/1            1/3            3/3            1/44           
UP000037774    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/1            1/1            2/4            0/0            0/1            0/4            0/0            0/0            0/0            0/1            0/0            0/1            1/1            2/6            7/30           20/175         
UP000244223    2/3            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            1/1            1/1            0/0            0/1            0/1            0/0            0/0            1/3            0/0            0/0            0/0            0/0            2/5            1/10           1/75           
UP000014977    0/1            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/1            0/0            1/2            0/0            0/0            0/0            0/3            0/0            0/2            0/1            0/0            4/10           2/15           8/121          
UP000199425    0/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/1            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            3/5            3/17           5/87           
UP000025229    1/2            0/0            2/2            0/2            0/0            0/0            0/0            0/0            0/1            2/3            2/4            0/0            0/1            0/3            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/3            4/11           5/77           
UP000309673    1/4            0/0            2/2            0/0            0/1            0/0            0/1            0/0            0/0            1/1            1/1            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/3            1/3            4/23           8/135          
UP000315628    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/4            0/0            0/1            0/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            3/18           5/82           
UP000005753    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/1            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/2            4/17           4/107          
UP000002216    0/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/3            0/1            0/0            0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/4            1/14           8/113          
UP000473885    0/1            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/1            1/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/4            5/16           2/96           
UP000037950    1/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/2            0/2            0/1            0/1            0/0            0/2            0/0            0/1            0/0            2/2            1/4            3/25           3/76           
UP000051195    2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/2            0/1            0/0            0/2            0/0            0/0            1/2            0/0            0/0            0/1            0/0            2/5            3/25           16/183         
UP000318527    3/4            0/1            2/2            1/1            0/1            0/2            0/1            0/0            0/0            1/1            1/1            0/0            1/2            0/2            0/1            0/0            0/0            0/1            0/0            0/0            2/2            2/5            3/13           7/99           
UP000283387    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            2/2            0/0            0/0            0/2            0/0            0/0            0/4            0/0            0/1            0/0            2/2            1/4            2/19           4/79           
UP000236207    1/2            0/1            2/2            1/1            0/0            0/0            0/0            0/0            0/0            3/3            2/5            0/0            0/2            0/1            0/0            0/0            0/4            0/0            0/0            0/0            2/2            1/3            5/18           7/75           
UP000502472    2/3            0/0            0/0            1/1            1/1            0/0            0/1            0/0            0/0            1/1            1/1            0/1            0/1            0/1            0/1            0/0            1/2            0/0            0/1            0/0            0/0            4/5            2/12           4/74           
UP000016618    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/4            2/10           9/146          
UP000265560    3/4            0/1            2/2            1/1            1/1            0/1            0/0            0/0            0/0            2/2            2/2            0/1            0/1            0/2            0/1            0/0            1/3            0/0            0/1            0/0            2/2            3/6            4/20           7/105          
UP000018213    0/0            0/0            2/2            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/2            0/0            2/2            2/3            1/2            3/41           
UP000004959    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/4            1/7            5/99           
UP000256379    0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/0            1/2            0/0            0/0            0/0            0/5            0/0            0/0            0/0            0/0            1/3            1/10           1/57           
UP000194216    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            1/2            1/5            4/14           2/67           
UP000291088    3/3            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/2            3/4            0/0            0/2            0/2            0/1            0/0            0/3            0/1            0/0            0/0            2/2            1/5            4/21           11/182         
UP000184444    2/2            0/0            2/3            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            2/14           13/119         
UP000035100    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            2/15           18/145         
UP000004915    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/2            0/2            0/0            0/0            0/0            0/0            0/1            0/1            1/1            1/6            3/19           8/90           
UP000003019    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/1            0/0            3/3            2/12           3/52           
UP000012063    0/0            0/0            2/3            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/1            0/0            0/2            0/0            0/0            0/0            0/1            0/1            0/0            0/0            1/1            1/7            6/26           10/102         
UP000187359    2/4            0/0            0/0            1/1            1/1            0/1            0/0            0/1            0/2            1/1            1/2            0/1            0/1            0/1            0/0            0/0            1/3            0/0            0/1            0/1            0/0            2/5            2/21           10/146         
UP000030518    2/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/3            2/16           5/62           
UP000249340    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/1            0/3            0/0            0/0            0/1            0/1            0/0            0/0            1/1            3/6            6/24           16/181         
UP000054804    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/4            0/1            0/0            0/3            0/0            0/1            0/1            0/0            0/0            0/0            1/1            3/8            5/32           18/176         
UP000310314    1/1            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            0/0            0/2            0/1            0/2            0/0            0/0            0/0            0/0            0/0            2/2            1/4            6/26           2/63           
UP000283433    2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            2/3            0/1            0/2            0/0            0/1            0/0            1/2            0/0            0/0            0/0            0/0            2/5            4/20           3/56           
UP000295560    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/1            1/1            5/11           0/0            0/1            0/4            0/0            0/0            0/1            0/0            0/0            0/0            1/1            4/7            4/27           14/149         
UP000005104    3/4            0/0            0/1            0/0            0/0            0/1            0/1            0/0            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/5            5/30           13/219         
UP000281491    0/0            0/0            1/2            0/0            0/2            0/0            0/0            0/0            0/0            1/2            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/1            1/1            2/5            2/17           7/116          
UP000254305    1/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/3            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            3/16           2/57           
UP000190367    1/2            0/0            2/2            1/1            0/1            0/0            0/1            0/0            0/0            0/0            2/4            0/1            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/3            1/3            8/33           4/114          
UP000035720    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/4            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            4/18           5/105          
UP000320857    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/5            0/0            0/0            0/2            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/3            4/23           13/152         
UP000464400    2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/1            0/0            0/0            1/2            0/0            0/0            0/1            0/0            3/6            2/25           30/244         
UP000255233    0/0            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/2            0/1            0/1            0/0            0/0            1/1            1/3            2/12           1/53           
UP000010802    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/3            0/1            0/0            0/0            0/0            2/5            2/18           8/91           
UP000002598    0/2            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            1/1            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/6            1/14           5/72           
UP000309061    4/5            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            1/2            2/4            0/0            1/4            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/2            4/16           3/88           
UP000196207    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/3            5/24           14/139         
UP000474457    1/1            0/0            2/2            1/1            0/0            0/0            0/2            0/0            0/0            0/0            2/3            0/0            0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/1            2/2            1/4            2/15           4/57           
UP000246014    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/1            0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/2            3/14           2/37           
UP000199583    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/3            0/0            0/2            1/3            0/0            0/0            0/1            0/0            3/6            1/28           10/139         
UP000018390    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            0/1            1/6            2/42           
UP000320496    1/2            0/1            2/2            1/1            0/0            0/2            0/1            0/0            0/0            0/0            2/2            0/0            0/0            0/2            0/0            1/1            0/4            0/0            0/1            0/0            2/2            3/4            7/25           3/90           
UP000076116    1/1            0/0            2/3            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/3            0/0            0/0            0/3            0/0            0/0            0/0            0/1            0/0            0/0            1/2            5/8            9/35           15/166         
UP000051274    1/2            0/0            2/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/6            0/0            0/1            0/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            4/17           5/130          
UP000297737    2/2            0/1            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/1            2/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/1            0/0            1/1            1/3            4/14           2/46           
UP000027866    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/1            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            1/1            1/2            3/13           4/51           
UP000053994    2/2            0/0            2/3            1/1            0/0            0/1            0/0            0/0            0/0            0/1            3/5            0/0            0/1            0/2            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/3            3/25           21/206         
UP000051407    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/1            1/1            1/2            3/18           6/87           
UP000231451    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            2/19           4/70           
UP000239209    1/1            0/0            2/2            0/1            0/0            0/1            0/0            0/0            0/0            1/1            2/5            0/0            0/1            0/3            0/0            0/0            0/3            0/0            0/0            0/0            1/1            4/5            7/26           12/224         
UP000298197    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/4            0/0            0/1            0/5            0/0            0/0            0/0            0/0            0/1            0/0            1/1            3/5            2/18           10/127         
UP000278222    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/2            1/2            0/1            0/1            0/3            0/1            0/1            1/1            0/1            0/0            0/0            0/0            2/4            6/30           33/237         
UP000017947    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/1            0/1            0/0            0/0            0/0            1/1            1/3            3/4            1/43           
UP000018231    0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            1/1            4/11           2/60           
UP000243274    0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/5            
UP000184191    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            3/3            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            3/24           10/117         
UP000305675    2/3            0/0            0/1            1/1            1/1            0/1            0/0            0/0            0/0            1/1            1/1            0/1            0/2            0/1            0/0            0/1            1/1            0/0            0/0            0/0            0/0            3/6            3/20           7/104          
UP000191905    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/3            0/0            0/2            0/2            0/1            0/0            0/3            0/0            0/0            0/0            2/2            1/2            4/24           18/176         
UP000032287    0/3            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/4            0/7            7/86           
UP000288610    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/1            0/0            1/1            2/4            0/0            0/1            0/3            0/0            0/0            0/2            0/0            0/0            0/1            1/1            4/6            5/25           14/241         
UP000002402    2/2            0/0            2/2            0/0            0/1            0/2            0/0            0/1            0/0            2/2            2/4            0/1            0/1            0/2            0/1            0/0            1/2            0/0            0/1            0/0            2/2            13/18          4/28           5/153          
UP000011919    1/5            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/0            0/1            0/1            0/3            0/0            0/0            0/0            2/2            1/4            4/22           9/107          
UP000186385    1/5            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/3            0/0            0/1            0/2            0/1            0/1            0/1            0/0            0/0            0/0            2/2            1/5            4/25           9/114          
UP000199668    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/1            0/2            0/0            0/3            0/0            0/0            0/0            2/2            1/5            4/18           3/88           
UP000003028    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            2/7            4/99           
UP000023788    2/3            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            1/3            0/0            0/0            0/0            0/0            3/5            1/9            5/59           
UP000094936    3/5            0/0            2/2            2/2            1/1            0/0            0/0            0/0            0/0            2/3            0/0            0/1            0/1            0/4            0/0            0/0            1/1            0/0            0/0            0/0            2/2            2/5            6/20           6/124          
UP000029082    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/1            1/1            1/5            6/84           
UP000256900    3/4            0/0            4/4            1/1            0/0            0/1            0/0            0/0            0/0            0/1            3/3            0/0            0/2            0/1            0/1            0/0            0/0            0/0            0/0            0/0            4/5            1/3            5/17           3/76           
UP000032633    1/4            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/0            1/1            0/0            0/0            0/1            0/1            0/1            0/0            0/1            0/0            0/0            0/1            2/3            1/4            4/33           18/189         
UP000003157    0/0            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/2            0/1            0/0            1/2            0/0            0/1            0/0            0/2            0/0            0/0            0/0            1/2            2/4            2/12           7/146          
UP000502035    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/2            3/12           7/95           
UP000196261    2/2            0/0            0/0            0/0            0/0            0/1            0/1            0/0            0/0            1/1            1/2            0/1            0/2            0/2            0/0            0/1            1/1            0/0            0/0            0/1            0/0            3/6            3/20           9/142          
UP000018098    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/1            0/0            0/0            2/2            1/4            1/10           2/53           
UP000186952    1/1            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/1            0/4            0/0            0/0            0/0            0/1            0/0            0/1            1/1            1/3            5/33           20/226         
UP000001408    0/0            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/1            2/2            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/2            3/13           3/62           
UP000248464    1/3            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            3/3            0/0            0/0            0/2            0/2            0/1            0/0            0/1            0/1            0/0            0/1            2/4            1/3            5/23           10/164         
UP000309676    1/4            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/2            0/0            0/1            0/1            0/1            0/1            0/3            0/1            0/0            0/1            2/2            1/8            3/27           12/158         
UP000094479    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/3            0/0            0/2            0/3            0/0            0/0            0/1            0/0            0/1            0/0            1/1            2/6            6/29           11/154         
UP000002200    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            1/3            4/31           
UP000292424    2/2            0/0            2/2            1/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/1            0/2            0/0            0/1            0/1            0/0            0/0            0/0            0/0            2/2            2/5            4/17           1/69           
UP000182350    3/4            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            1/1            1/3            0/0            1/2            0/1            0/0            0/0            0/4            0/0            0/0            0/0            2/2            2/3            3/11           7/83           
UP000503011    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/7            0/0            0/3            0/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            11/15          12/37          17/270         
UP000001556    0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            2/2            0/1            0/0            0/2            0/1            0/0            0/0            0/0            0/1            0/0            0/1            0/0            2/6            3/20           5/99           
UP000320031    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/1            0/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/4            3/17           10/123         
UP000323257    1/4            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/0            1/1            0/0            0/0            0/2            0/1            0/1            0/1            0/2            0/0            0/0            0/0            2/2            1/3            4/25           20/216         
UP000235918    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            2/3            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/3            1/10           1/43           
UP000018410    0/0            0/0            3/3            0/0            0/0            0/0            0/0            0/0            0/1            1/2            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            3/9            6/56           
UP000250434    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/1            0/0            0/3            0/0            0/0            0/3            0/1            0/0            0/0            1/1            8/9            8/39           20/211         
UP000010384    3/3            0/0            2/2            1/1            0/0            0/0            0/2            0/0            0/0            2/2            1/2            0/0            1/2            0/1            0/0            0/1            0/4            0/0            0/1            0/0            2/2            3/6            5/18           15/160         
UP000199164    2/4            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/3            2/16           5/76           
UP000308697    1/1            0/0            2/2            0/2            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/2            0/4            0/0            0/0            0/1            0/0            0/1            0/0            1/1            2/6            7/30           19/167         
UP000293861    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            1/2            3/52           
UP000237414    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/4            0/0            0/0            0/1            0/0            0/0            0/1            1/1            3/6            5/29           19/182         
UP000183263    1/1            0/0            2/3            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/2            0/0            1/1            1/3            5/22           12/138         
UP000051642    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            1/1            1/4            3/12           3/66           
UP000201169    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/0            1/2            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/2            2/16           2/49           
UP000178622    0/1            0/0            2/2            0/0            0/1            0/0            0/1            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/2            3/14           14/113         
UP000199423    2/2            0/0            2/2            1/1            0/0            1/2            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/2            0/1            0/1            0/1            0/1            0/1            0/0            2/2            1/3            3/14           3/99           
UP000237822    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            5/19           9/98           
